id,found_at,business_name,phone,phone_type,address,city,niche,rating,reviews_count,website,source_url,has_website,email,source_query,pitch,wa_link,google_search_link,status,created_at,updated_at
3a3b150d-0c70-46c4-bcbd-0d5921b4af0c,2026-09-01T16:57:13.456026Z,Shree Properties,,,Pune,Pune,real_estate,,,,,False,,real estate agency,"Namaste Shree Properties ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",,https://www.google.com/search?q=Shree%20Properties%20Pune%20phone,ready,2026-09-01T16:57:13.456026Z,2026-09-01T16:57:13.456026Z
253b6cb5-a630-4aa6-8def-143e16ac33e3,2026-09-01T16:57:13.454925Z,Kubar Properties,,,Pune,Pune,real_estate,,,,,False,,real estate agency,"Namaste Kubar Properties ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",,https://www.google.com/search?q=Kubar%20Properties%20Pune%20phone,ready,2026-09-01T16:57:13.454925Z,2026-09-01T16:57:13.454925Z
af269479-bb41-49aa-b64d-dc89bb45469d,2026-09-01T16:57:13.450988Z,OM Properties,+919604048412,mobile,"F-2, Pune",Pune,real_estate,,,,,False,,real estate agency,"Namaste OM Properties ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",https://wa.me/919604048412?text=Namaste%20OM%20Properties%20ji%20%F0%9F%99%8F%20Main%20Sumit%2C%20LeadGen%20AI%20se.%20Real%20Estate%20business%20me%20site-visit%20tak%20pahunchne%20wale%20serious%20buyers%20dhundna%20mushkil%20hai%20%E2%80%94%20hamara%20AI%20voice%20agent%20aapke%20liye%20interested%20customers%20ko%20khud%20call%20karke%20QUALIFIED%20leads%20laata%20hai.%20Shuruat%20me%2010%20leads%20bilkul%20FREE.%202-min%20live%20demo%20yahan%20suniye%3A%20leadsgenai.in/app/test-call,,ready,2026-09-01T16:57:13.450988Z,2026-09-01T16:57:13.450988Z
d43ffcad-9da3-4d7f-95f4-66ef2c0a479c,2026-09-01T16:57:13.445508Z,SRK Dreamz Real Estate,+919049514049,mobile,"F-55, Pune",Pune,real_estate,,,,,False,,real estate agency,"Namaste SRK Dreamz Real Estate ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",https://wa.me/919049514049?text=Namaste%20SRK%20Dreamz%20Real%20Estate%20ji%20%F0%9F%99%8F%20Main%20Sumit%2C%20LeadGen%20AI%20se.%20Real%20Estate%20business%20me%20site-visit%20tak%20pahunchne%20wale%20serious%20buyers%20dhundna%20mushkil%20hai%20%E2%80%94%20hamara%20AI%20voice%20agent%20aapke%20liye%20interested%20customers%20ko%20khud%20call%20karke%20QUALIFIED%20leads%20laata%20hai.%20Shuruat%20me%2010%20leads%20bilkul%20FREE.%202-min%20live%20demo%20yahan%20suniye%3A%20leadsgenai.in/app/test-call,,ready,2026-09-01T16:57:13.446724Z,2026-09-01T16:57:13.446724Z
de1cbe5d-7996-4c4b-845a-2e5a3e2a9552,2026-09-01T16:57:10.586464Z,Welworth Realty,+912025530544,fixed,"Butte Patil Chambers, Off. No. 1, 2 nd Floor, Near Shivsagar Hotel, Jangli Maharaj Path, Pune",Pune,real_estate,,,http://welworthrealty.com/,,True,,real estate agency,"Namaste Welworth Realty ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",https://wa.me/912025530544?text=Namaste%20Welworth%20Realty%20ji%20%F0%9F%99%8F%20Main%20Sumit%2C%20LeadGen%20AI%20se.%20Real%20Estate%20business%20me%20site-visit%20tak%20pahunchne%20wale%20serious%20buyers%20dhundna%20mushkil%20hai%20%E2%80%94%20hamara%20AI%20voice%20agent%20aapke%20liye%20interested%20customers%20ko%20khud%20call%20karke%20QUALIFIED%20leads%20laata%20hai.%20Shuruat%20me%2010%20leads%20bilkul%20FREE.%202-min%20live%20demo%20yahan%20suniye%3A%20leadsgenai.in/app/test-call,,ready,2026-09-01T16:57:12.081728Z,2026-09-01T16:57:12.081728Z
2fd3566c-754c-4bc6-a051-310b02598434,2026-09-01T16:51:45.640484Z,Veena Developers,+918828103714,mobile,"A-901,Kaledonia, Sahar Road,Sambhaji Nagar, Mumbai",Mumbai,real_estate,,,https://www.veenadevelopers.com/,,True,,real estate agency,"Namaste Veena Developers ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",https://wa.me/918828103714?text=Namaste%20Veena%20Developers%20ji%20%F0%9F%99%8F%20Main%20Sumit%2C%20LeadGen%20AI%20se.%20Real%20Estate%20business%20me%20site-visit%20tak%20pahunchne%20wale%20serious%20buyers%20dhundna%20mushkil%20hai%20%E2%80%94%20hamara%20AI%20voice%20agent%20aapke%20liye%20interested%20customers%20ko%20khud%20call%20karke%20QUALIFIED%20leads%20laata%20hai.%20Shuruat%20me%2010%20leads%20bilkul%20FREE.%202-min%20live%20demo%20yahan%20suniye%3A%20leadsgenai.in/app/test-call,,ready,2026-09-01T16:51:45.640484Z,2026-09-01T16:51:45.640484Z
74908943-ad1c-468e-8e86-6af15d997d44,2026-09-01T16:51:45.636641Z,Maganlal Real Estate,+919869042251,mobile,Mumbai,Mumbai,real_estate,,,,,False,,real estate agency,"Namaste Maganlal Real Estate ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",https://wa.me/919869042251?text=Namaste%20Maganlal%20Real%20Estate%20ji%20%F0%9F%99%8F%20Main%20Sumit%2C%20LeadGen%20AI%20se.%20Real%20Estate%20business%20me%20site-visit%20tak%20pahunchne%20wale%20serious%20buyers%20dhundna%20mushkil%20hai%20%E2%80%94%20hamara%20AI%20voice%20agent%20aapke%20liye%20interested%20customers%20ko%20khud%20call%20karke%20QUALIFIED%20leads%20laata%20hai.%20Shuruat%20me%2010%20leads%20bilkul%20FREE.%202-min%20live%20demo%20yahan%20suniye%3A%20leadsgenai.in/app/test-call,,ready,2026-09-01T16:51:45.636641Z,2026-09-01T16:51:45.636641Z
37989395-620f-4007-aa8f-7ccbd6e25784,2026-09-01T16:51:45.635640Z,Rize Spaces,,,Mumbai,Mumbai,real_estate,,,,,False,,real estate agency,"Namaste Rize Spaces ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",,https://www.google.com/search?q=Rize%20Spaces%20Mumbai%20phone,ready,2026-09-01T16:51:45.635640Z,2026-09-01T16:51:45.635640Z
40e96e60-3372-4676-8398-10c8b84858af,2026-09-01T16:51:45.633639Z,DHM Estates,,,Mumbai,Mumbai,real_estate,,,,,False,,real estate agency,"Namaste DHM Estates ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",,https://www.google.com/search?q=DHM%20Estates%20Mumbai%20phone,ready,2026-09-01T16:51:45.633639Z,2026-09-01T16:51:45.633639Z
a0c120dc-46b5-457a-b8bc-4806c15f599f,2026-09-01T16:51:45.632628Z,Spacewale,,,Mumbai,Mumbai,real_estate,,,,,False,,real estate agency,"Namaste Spacewale ji 🙏 Main Sumit, LeadGen AI se. Real Estate business me site-visit tak pahunchne wale serious buyers dhundna mushkil hai — hamara AI voice agent aapke liye interested customers ko khud call karke QUALIFIED leads laata hai. Shuruat me 10 leads bilkul FREE. 2-min live demo yahan suniye: leadsgenai.in/app/test-call",,https://www.google.com/search?q=Spacewale%20Mumbai%20phone,ready,2026-09-01T16:51:45.632628Z,2026-09-01T16:51:45.632628Z
